Column Name,Human-Readable Name,Data File Name,Data File Description,Component,Doc URL
SEQN,Respondent sequence number.,DEMO_L,Demographic Variables and Sample Weights,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.htm#SEQN
SDDSRVYR,Data release cycle,DEMO_L,Demographic Variables and Sample Weights,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.htm#SDDSRVYR
RIDSTATR,Interview and examination status of the participant.,DEMO_L,Demographic Variables and Sample Weights,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.htm#RIDSTATR
RIAGENDR,Gender of the participant.,DEMO_L,Demographic Variables and Sample Weights,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.htm#RIAGENDR
RIDAGEYR,Age in years of the participant at the time of screening. Individuals 80 and over are top-coded at 80 years of age.,DEMO_L,Demographic Variables and Sample Weights,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.htm#RIDAGEYR
RIDAGEMN,Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).,DEMO_L,Demographic Variables and Sample Weights,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.htm#RIDAGEMN
RIDRETH1,Recode of reported race and Hispanic origin information,DEMO_L,Demographic Variables and Sample Weights,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.htm#RIDRETH1
RIDRETH3,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category",DEMO_L,Demographic Variables and Sample Weights,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.htm#RIDRETH3
RIDEXMON,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31.",DEMO_L,Demographic Variables and Sample Weights,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.htm#RIDEXMON
RIDEXAGM,Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examination.,DEMO_L,Demographic Variables and Sample Weights,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.htm#RIDEXAGM
